DRDP Measure,** DRDP Developmental Level ,** Teaching Practice Category,Resource Agency,Activity Title,Activity Description,URL,"** FS Domain (should be Cognitive, Language, Physical or Social Emotional)","Age Range (months) should be the numbers only, e.g., 6-12)",Extra columns unique to that form (list out after) create a new column for each unique variable,FS ActivityCard #,FS Music,FS Infant Card SPANISH URL,"FS Intentions (should be Communication, Attention, Curiosity or Persitence)","FS Intentions (should be Communication, Attention, Curiosity or Persitence)","HSELOF goals (IT-ATL #, IT-SE #, IT-LC #, IT-C #, IT-PMP #)",ASQ page number
COG 8: Cause and Effect,"Responding Earlier, Responding Later",Planned Learning Activity,Frog Street Infant,Cause and Effect,"experiment with cause and effect toys, demonstrate and model reactions",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75346,Cognitive,0 - 3,,"C, 1",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75641,Curiosity,Attention,,
LLD 5: Interest in Literacy,"Responding Earlier, Responding Later",Planned Learning Activity,Frog Street Infant,Cause and Effect,"experiment with cause and effect toys, demonstrate and model reactions",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75346,Cognitive,0 - 3,,"C, 1",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75641,Curiosity,Attention,,
SED 2: Social and Emotional Understanding,"Responding Earlier, Responding Later",Planned Learning Activity,Frog Street Infant,My Name,Make it a habit to call a baby's name as you approach them,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75356,Cognitive,3 - 6,,"C, 11",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75689,Attention,Curiosity,,
ATL-REG 2: Self-Comforting,"Responding Earlier, Responding Later",Planned Learning Activity,Frog Street Infant,Look at My Face,Have baby look at your face at different distances and angles,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75358,Cognitive,3 - 6,,"C, 13",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75687,Curiosity,Attention,,
ATL-REG 5: Self-Control of Feelings and Behavior,"Responding Earlier, Responding Later",Planned Learning Activity,Frog Street Infant,Look at My Face,Have baby look at your face at different distances and angles,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75358,Cognitive,3 - 6,,"C, 13",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75687,Curiosity,Attention,,
LLD 3: Communication and Use of Language (Expressive),"Responding Earlier, Responding Later",Planned Learning Activity,Frog Street Infant,Look at My Face,Have baby look at your face from different distances and angles,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75358,Cognitive,3 - 6,,"C, 13",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75687,Curiosity,Attention,,
ATL-REG 2: Self-Comforting,"Responding Earlier, Responding Later",Planned Learning Activity,Frog Street Infant,This is Lily,"Introduce the baby to a puppet and have it talk with the baby and play peek-a-boo with it, sparking their curiosity",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75359,Cognitive,3 - 6,,"C, 14",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75685,Curiosity,Attention,,
ATL-REG 5: Self-Control of Feelings and Behavior,"Responding Earlier, Responding Later",Planned Learning Activity,Frog Street Infant,This Is Lily,"Introduce the baby to a puppet and have it talk with the baby and play peek-a-boo with it, sparking their curiosity",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75359,Cognitive,3 - 6,,"C, 14",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75685,Curiosity,Attention,,
LLD 3: Communication and Use of Language (Expressive),"Responding Earlier, Responding Later",Planned Learning Activity,Frog Street Infant,This Is Lily,"Introduce the baby to a puppet and have it talk with the baby and play peek-a-boo with it, sparking their curiosity",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75359,Cognitive,3 - 6,,"C, 14",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75685,Curiosity,Attention,,
ATL-REG 2: Self-Comforting,"Responding Earlier, Responding Later",Planned Learning Activity,Frog Street Infant,Tickle and Touch,"Keep a turkey baster by diaper changing area, use baster to apply tiny puffs of air to baby's hands and feet, show them how to use the baster, on another day use a feather to tickle their feet",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75360,Cognitive,3 - 6,,"C, 15",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75686,Curiosity,Attention,,
LLD 3: Communication and Use of Language (Expressive),"Responding Earlier, Responding Later",Planned Learning Activity,Frog Street Infant,Tickle and Touch,"Keep a turkey baster by diaper changing area, use baster to apply tiny puffs of air to baby's hands and feet, show them how to use the baster, on another day use a feather to tickle their feet",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75360,Cognitive,3 - 6,,"C, 15",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75686,Curiosity,Attention,,
PD-HLTH 8: Personal Care Routines: Dressing,"Responding Earlier, Responding Later",Planned Learning Activity,Frog Street Infant,Tickle and Touch,"Keep a turkey baster by diaper changing area, use baster to apply tiny puffs of air to baby's hands and feet, show them how to use the baster, on another day use a feather to tickle their feet",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75360,Cognitive,3 - 6,,"C, 15",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75686,Curiosity,Attention,,
PD-HLTH 8: Personal Care Routines: Dressing,"Responding Earlier, Responding Later",Planned Learning Activity,Frog Street Infant,Change It Up,"Make small changes to a baby's typical environment, and see if baby notices them",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75361,Cognitive,3 - 6,,"C, 16",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75683,Curiosity,Attention,,
ATL-REG 5: Self-Control of Feelings and Behavior,"Responding Earlier, Responding Later",Planned Learning Activity,Frog Street Infant,Balloon Watch,Have baby watch Mylar balloon float,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75362,Cognitive,3 - 6,,"C, 17",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75682,Curiosity,Attention,,
ATL-REG 5: Self-Control of Feelings and Behavior,"Responding Earlier, Responding Later",Planned Learning Activity,Frog Street Infant,Smile,Smile often at babies and respond back enthusiastically,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75347,Cognitive,0 - 3,,"C, 2",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75647,Attention,Curiosity,,
